1/1/22,Saturday,New Year's Day
1/17/22,Monday,Martin Luther King Jr. Day
2/14/22,Monday,Valentine's Day
2/21/22,Monday,Washington's Birthday
3/17/22,Thursday,St. Patrick's Day
4/17/22,Sunday,Easter Sunday
4/18/22,Monday,Tax Day
4/27/22,Wednesday,Administrative Professionals Day
5/8/22,Sunday,Mother's Day
5/30/22,Monday,Memorial Day
6/19/22,Sunday,Juneteenth
6/19/22,Sunday,Father's Day
6/20/22,Monday,Juneteenth (substitute day)
7/4/22,Monday,Independence Day
9/5/22,Monday,Labor Day
10/10/22,Monday,Columbus Day
10/31/22,Monday,Halloween
11/11/22,Friday,Veterans Day
11/24/22,Thursday,Thanksgiving Day
11/25/22,Friday,Day after Thanksgiving Day
12/24/22,Saturday,Christmas Eve
12/25/22,Sunday,Christmas Day
12/26/22,Monday,Christmas Day (substitute day)
12/31/22,Saturday,New Year's Eve